请求 ID,模型,时间,项目名称,项目ID,API Key名称,API Key ID,输入 Tokens,输出 Tokens,Cached Tokens
chatcmpl-6a77b501cfe918a310930ea6,kimi-k3,2026-08-09 07:00:32,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,93678,643,93440
chatcmpl-6a77b4fccfe918a310930ea1,kimi-k3,2026-08-09 07:00:16,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,93534,115,93184
chatcmpl-6a77b4f4f051a4bda8a0cc17,kimi-k3,2026-08-09 07:00:10,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,93230,263,92928
chatcmpl-6a77b4edcfe918a310930e95,kimi-k3,2026-08-09 07:00:02,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,92998,185,92160
chatcmpl-6a77b4dcf3154d657bce830b,kimi-k3,2026-08-09 06:59:55,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,92281,628,91904
chatcmpl-6a77b4d6f3154d657bce8307,kimi-k3,2026-08-09 06:59:38,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,92071,146,91904
chatcmpl-6a77b4cdf3154d657bce8303,kimi-k3,2026-08-09 06:59:28,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,91986,51,91392
chatcmpl-6a77b4c1f3154d657bce82fc,kimi-k3,2026-08-09 06:59:24,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,91462,480,90624
chatcmpl-6a77b4b6cfe918a310930e80,kimi-k3,2026-08-09 06:59:11,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,90840,386,89856
chatcmpl-6a77b4b1cfe918a310930e7b,kimi-k3,2026-08-09 06:59:01,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,90029,116,89600
chatcmpl-6a77b4a9f051a4bda8a0cbe2,kimi-k3,2026-08-09 06:58:55,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,89722,263,89344
chatcmpl-6a77b4a2f3154d657bce82e8,kimi-k3,2026-08-09 06:58:47,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,89449,196,89344
chatcmpl-6a77b3e8cfe918a310930df4,kimi-k3,2026-08-09 06:55:39,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,89364,51,88832
chatcmpl-6a77b3dcf051a4bda8a0cb34,kimi-k3,2026-08-09 06:55:32,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,88986,317,88576
chatcmpl-6a77b3d6f3154d657bce8296,kimi-k3,2026-08-09 06:55:22,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,88791,127,88576
chatcmpl-6a77b3c2f3154d657bce828a,kimi-k3,2026-08-09 06:55:02,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,88629,128,87808
chatcmpl-6a77b3b4f051a4bda8a0cb13,kimi-k3,2026-08-09 06:54:56,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,88041,523,87296
chatcmpl-6a77b3acf3154d657bce827c,kimi-k3,2026-08-09 06:54:42,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,87333,225,87040
chatcmpl-6a77b3a5f051a4bda8a0cb0b,kimi-k3,2026-08-09 06:54:34,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,87103,158,86784
chatcmpl-6a77b391f3154d657bce826b,kimi-k3,2026-08-09 06:54:12,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,87018,51,86272
chatcmpl-6a77b381f3154d657bce825f,kimi-k3,2026-08-09 06:54:08,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,86328,637,86016
chatcmpl-6a77b37cf3154d657bce825b,kimi-k3,2026-08-09 06:53:52,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,86066,170,85760
chatcmpl-6a77b35bf051a4bda8a0cad3,kimi-k3,2026-08-09 06:53:20,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,85876,156,85504
chatcmpl-6a77b354f3154d657bce823d,kimi-k3,2026-08-09 06:53:13,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,85618,198,84992
chatcmpl-6a77b346f3154d657bce8233,kimi-k3,2026-08-09 06:53:04,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,85136,426,84736
chatcmpl-6a77b33ef051a4bda8a0cab8,kimi-k3,2026-08-09 06:52:52,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,84875,228,82688
chatcmpl-6a77b335b3cae5c854115a60,kimi-k3,2026-08-09 06:52:43,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,75325,243,75008
chatcmpl-6a77b32f7c5695c6eaa5a8a8,kimi-k3,2026-08-09 06:52:35,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,75076,169,74752
chatcmpl-6a77b31eb3cae5c854115a54,kimi-k3,2026-08-09 06:52:18,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,74935,107,74496
chatcmpl-6a77b318b3cae5c854115a50,kimi-k3,2026-08-09 06:52:13,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,74688,193,73984
chatcmpl-6a77b30db3cae5c854115a4a,kimi-k3,2026-08-09 06:52:07,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,74118,463,73216
